,Titles,link,Organisation,Group
15,Consolidated Exposures-Immediate Risk Basis,https://data.gov.au/dataset/cosolidated-exposures-immediate-risk-basis,Reserve Bank of Aus... ,Business Support an... 
16,Public Unit Trust,https://data.gov.au/dataset/public-unit-trust,Reserve Bank of Aus... ,Business Support an... 
17,Securitisation Vehicles,https://data.gov.au/dataset/securitisation-vehicles,Reserve Bank of Aus... ,Business Support an... 
18,Assets of Australian-located Operations,https://data.gov.au/dataset/assets-of-australian-located-operations,Reserve Bank of Aus... ,Business Support an... 
19,Banks – Consolidated Group Capital,https://data.gov.au/dataset/banks-consolidated-group-capital,Reserve Bank of Aus... ,Business Support an... 
20,Historical Australian Government Contract Data,https://data.gov.au/dataset/historical-australian-government-contract-data,Department of Finance ,Business Support an... 
21,Budget 2014-15 Tables and Data,https://data.gov.au/dataset/budget-2014-15-tables-and-data,Department of Finance ,Business Support an... 
22,Portfolio Additional Estimates Statements 2014-15 Tables and Data,https://data.gov.au/dataset/portfolio-additional-estimates-statements-2014-15-tables-and-data,Department of Finance ,Business Support an... 
23,AusTender ICT Procurement Statistics,https://data.gov.au/dataset/austender-ict-procurement-statistics,Department of Finance ,Business Support an... 
24,List of known FOI Disclosure Logs,https://data.gov.au/dataset/list-of-known-foi-disclosure-logs,Department of Finance ,Business Support an... 
25,National Transport Commission FOI Disclosure Log,https://data.gov.au/dataset/national-transport-commission-foi-disclosure-log,Department of Finance ,Business Support an... 
26,Department of Agriculture FOI Disclosure Log,https://data.gov.au/dataset/department-of-agriculture-foi-disclosure-log,Department of Finance ,Business Support an... 
27,Latest Approaches to Markets listed on AusTender,https://data.gov.au/dataset/latest-approaches-to-markets-listed-on-austender,Department of Finance ,Business Support an... 
28,Therapeutic Goods Administration FOI Disclosure Log,https://data.gov.au/dataset/therapeutic-goods-administration-foi-disclosure-log,Department of Finance ,Business Support an... 
29,IP Australia FOI Disclosure Log,https://data.gov.au/dataset/ip-australia-foi-disclosure-log,Department of Finance ,Business Support an... 
30,Indigenous Business Australia FOI Disclosure Log,https://data.gov.au/dataset/indigenous-business-australia-foi-disclosure-log,Department of Finance ,Business Support an... 
31,Indigenous Land Corporation FOI Disclosure Log,https://data.gov.au/dataset/indigenous-land-corporation-foi-disclosure-log,Department of Finance ,Business Support an... 
32,Department of Social Services FOI Disclosure Log,https://data.gov.au/dataset/department-of-social-services-foi-disclosure-log,Department of Finance ,Business Support an... 
33,Australian Securities and Investments Commission FOI Disclosure Log,https://data.gov.au/dataset/australian-securities-and-investments-commission-foi-disclosure-log,Department of Finance ,Business Support an... 
34,Australian Organ and Tissue Donation and Transplantation Authority FOI Disclo...,https://data.gov.au/dataset/australian-organ-and-tissue-donation-and-transplantation-authority-foi-disclosure-log,Department of Finance ,Business Support an... 
35,Office of the Aged Care Commissioner FOI Disclosure Log,https://data.gov.au/dataset/office-of-the-aged-care-commissioner-foi-disclosure-log,Department of Finance ,Business Support an... 
36,"Estimated Value of Agricultural Operations (EVAO), 1996-1997",https://data.gov.au/dataset/estimated-value-of-agricultural-operations-evao-1996-1997,Department of Agric... ,Business Support an... 
37,"Farm family Cash Income, 1996-1997 to 1998-1999 (three year average)",https://data.gov.au/dataset/farm-family-cash-income-1996-1997-to-1998-1999-three-year-average,Department of Agric... ,Business Support an... 
38,"Australian Dryland Salinity Assessment Spatial Data (1:2,500,000) – NLWRA 2001",https://data.gov.au/dataset/australian-dryland-salinity-assessment-spatial-data-12500000-nlwra-2001,Department of Agric... ,Business Support an... 
39,"Annual Family Income, 1996-1997 to 1998-1999 (Three Year Average)",https://data.gov.au/dataset/annual-family-income-1996-1997-to-1998-1999-three-year-average,Department of Agric... ,Business Support an... 
40,Elevation of the Pre-Tertiary Basement in the Murray Basin,https://data.gov.au/dataset/elevation-of-the-pre-tertiary-basement-in-the-murray-basin,Department of Agric... ,Business Support an... 
41,Equivalent Fresh Water Head Difference Between the Shallowest and Deepest Aqu...,https://data.gov.au/dataset/equivalent-fresh-water-head-difference-between-the-shallowest-and-deepest-aquifers,Department of Agric... ,Business Support an... 
42,New South Wales – Dryland Salinity Assessment 2000 – Assessmet of Dryland sal...,https://data.gov.au/dataset/new-south-wales-dryland-salinity-assessment-2000-assessmet-of-dryland-salinity-extent-2020,Department of Agric... ,Business Support an... 
43,"Boreholes in the Murray Basin, Southeastern Australia",https://data.gov.au/dataset/boreholes-in-the-murray-basin-southeastern-australia,Department of Agric... ,Business Support an... 
44,"Farmer Population, 1996",https://data.gov.au/dataset/farmer-population-1996,Department of Agric... ,Business Support an... 
45,Major Water Resources Infrastructure (Part of the Australian Water Resources ...,https://data.gov.au/dataset/major-water-resources-infrastructure-part-of-the-australian-water-resources-assessment-2000-database,Department of Agric... ,Business Support an... 
46,Statistical Local Areas 1996 for Agricultural Structure Classification,https://data.gov.au/dataset/statistical-local-areas-1996-for-agricultural-structure-classification,Department of Agric... ,Business Support an... 
47,"Estimated Proportion of Farms Carrying Out Landcare Related Work, 1998-1999",https://data.gov.au/dataset/estimated-proportion-of-farms-carrying-out-landcare-related-work-1998-1999,Department of Agric... ,Business Support an... 
48,Australian Broadband Guarantee,https://data.gov.au/dataset/australian-broadband-guarantee,Department of Commu... ,Business Support an... 
49,Digital Enterprise,https://data.gov.au/dataset/digital-enterprise,Department of Commu... ,Business Support an... 
50,MyBroadband Results - Interactive map,https://data.gov.au/dataset/mybroadband,Department of Commu... ,Business Support an... 
51,Intellectual Property Government Open Data 2017 (GovHack),https://data.gov.au/dataset/intellectual-property-government-open-data-2017-govhack,IP Australia ,Business Support an... 
52,[Superseded] Intellectual Property Government Open Data 2015,https://data.gov.au/dataset/ntellectual-property-government-open-data-2015,IP Australia ,Business Support an... 
53,[Superseded] Intellectual Property Government Open Data 2014,https://data.gov.au/dataset/intellectual-property-government-open-data,IP Australia ,Business Support an... 
54,Television Planning Data,https://data.gov.au/dataset/television-planning-data,Australian Communic... ,Business Support an... 
55,Broadcasting Licence Areas,https://data.gov.au/dataset/broadcasting-licence-areas,Australian Communic... ,Business Support an... 
56,Garbage Collection Routes,https://data.gov.au/dataset/mitchell-shire-garbage-collection-routes,Mitchell Shire Council ,Business Support an... 
57,Australian Public Holidays Dates Machine Readable Dataset,https://data.gov.au/dataset/australian-holidays-machine-readable-dataset,Digital Transformat... ,Business Support an... 
